Dataset,Infinity,1,0.2,2,0.05,10,
Adnet_et_Cappetta_2001,-429.23,-433.629579,-462.389564,-430.23,-506.598402,-430.538902,
Angielczyk_2004,-269.41,-278.653353,-293.62248,-273.72,-335.579917,-269.76056,
Apesteguia_et_Novas_2003,-507.16,-521.124266,-532.245098,-511.78,-612.001335,-511.090145,
Arcucci_et_Coria_2003,-100.81,-104.597436,-103.764884,-101.85,-102.216268,-102.389896,
Barbosa_etal_2008,-210.74,-220.025212,-238.573783,-214.97,-255.382078,-212.205794,
Benton_2004,-783.6,-789.980512,-805.826314,-787.48,-824.698805,-783.755444,
Bloch_etal_2001,-262.27,-275.655571,-296.13801,-268.66,-378.05443,-264.191832,
Bolotsky_et_Godefroit_2004,-104.63,-106.223683,-107.933041,-104.96,-114.437241,-105.967172,
Botha_etal_2007,-517.18,-533.67574,-532.785115,-524.79,-610.751768,-520.041417,
Bourdon_2005,-1038.77,-1046.020264,-1078.678683,-1040.79,-1159.759894,-1040.201744,
Brazeau_2005,-173.34,-179.810539,-193.647517,-176.25,-214.638974,-174.709927,
Buscalioni_etal_1996,-143.86,-146.861824,-147.970839,-145.05,-151.624051,-143.878261,
Chatterjee_1991,-105.44,-108.675643,-108.632621,-106.12,-108.251013,-108.247396,
Chiappe_et_Calvo_1994,-218.54,-228.631949,-226.232271,-221.47,-227.966377,-221.464006,
Chiappe_et_Walker_2002,-142.33,-150.067182,-147.973633,-146.2,-148.763479,-142.853364,
Chinnery_et_Weishampel_1998,-329.91,-345.159688,-343.612627,-336.24,-393.522003,-332.887757,
Clement_etal_2009,-106.35,-112.024683,-112.540021,-107.99,-114.66314,-108.827217,
Coria_et_Salgado_1996,-142.64,-145.400238,-144.785616,-143.34,-143.528123,-143.621652,
Cracraft_et_Clarke_2001,-153.66,-158.83603,-162.818901,-155.23,-162.74058,-155.327072,
Curry_Rogers_2005,-3181.38,-3278.459756,-3199.197253,-3214.09,-3390.583488,-3188.3213,
Curry_Rogers_et_Forster_2001,-1452.04,-1498.065438,-1474.506735,-1470.77,-1544.763007,-1461.916994,
Damiani_2001,-474.65,-486.089251,-492.747561,-478.8,-503.478976,-475.986873,
Dashzeveg_et_Jin_1998,-360.4,-375.724255,-406.654526,-367.14,-461.584857,-364.240389,
deBraga_2003,-341.54,-351.134859,-356.799622,-345.5,-382.547655,-344.097045,
deBraga_et_Reisz_1996,-272.72,-278.595012,-303.51893,-275.66,-304.702929,-273.332521,
de_Carvalho_1996,-585.35,-594.967075,-618.430486,-587.66,-686.363112,-589.463056,
Densmore_et_White_1991a,-437.47,-438.993979,-438.599823,-439.44,-439.273439,-438.953246,
Dilkes_et_Arcucci_inpress,-649.28,-659.798671,-659.753292,-652.68,-700.659947,-649.741175,
Dodick_et_Modesto_1995,-159.98,-166.562419,-176.121746,-162.62,-205.217691,-161.859607,
Donoghue_2001,-266.23,-270.938559,-275.363478,-267.46,-278.42931,-268.383219,
Doyle_et_Donoghue_1986,-486.59,-496.871458,-491.339947,-489.44,-489.547621,-489.921325,
Dupret_2004,-627.93,-643.553208,-652.268551,-633.72,-673.372077,-631.99005,
Evans_etal_2013,-297.72,-308.9329,-328.813596,-301.67,-350.567394,-300.06833,
Gahn_et_Kammer_2002,-107.28,-108.684047,-127.332982,-107.82,-144.707582,-107.424534,
Galton_et_Upchurch_2004,-216.32,-224.126413,-226.986732,-219.13,-229.629632,-218.009427,
Gardner_2001,-302.73,-313.237758,-322.301626,-306.26,-347.992857,-306.622356,
Gauthier_1986,-370.21,-387.709985,-379.127993,-376.49,-376.012423,-376.715766,
Gauthier_etal_1988,-1596.53,-1629.828674,-1633.938465,-1605.45,-1673.512523,-1610.18123,
Gauthier_etal_1988,-610.25,-621.98546,-630.471958,-615.38,-688.361421,-613.758102,
Godefroit_etal_1998,-206.83,-212.77789,-211.753418,-208.51,-209.982947,-210.242845,
Gonzalez_Riga_et_David_inpress,-590.53,-605.053348,-597.128353,-595.73,-682.469311,-590.534319,
Gower_2002,-148.82,-155.256328,-161.212483,-151.34,-169.433324,-150.929603,
Holbrook_2001,-275.71,-280.890971,-301.626962,-275.98,-319.327735,-277.479953,
Holmes_etal_1998,-145.16,-147.088279,-146.801938,-145.8,-146.4317,-145.934856,
Sequeira_et_Coates_2000,-167.69,-173.452586,-187.364662,-169.64,-203.066955,-168.61935,
Sereno_1999,-576.85,-592.005954,-597.174508,-582.13,-599.81515,-581.793965,
Sereno_1999ad,-677.15,-705.622035,-709.83497,-687.08,-734.568762,-685.879789,
Sereno_1999ag,-265.27,-275.468271,-280.885598,-268.85,-289.452757,-269.537981,
Sereno_2000a,-160.94,-170.698819,-166.153746,-164.17,-163.774244,-164.404453,
Sereno_2000,-303.94,-315.832501,-327.809553,-308.13,-336.589431,-308.26766,
Sereno_2012,-140.91,-147.3562,-144.457626,-143.04,-142.242141,-142.471407,
Sereno_etal_2007,-515.14,-528.630841,-544.240103,-520.75,-526.308635,-517.019289,
Sereno_et_Arcucci_1990,-125.65,-129.530625,-130.964724,-126.7,-134.535339,-127.608627,
Stocker_2010,-457.26,-471.435294,-475.421537,-461.9,-563.220284,-458.904,
Rode_2005,-385.37,-393.883908,-405.452916,-388.84,-426.496083,-385.501322,
Rubidge_etal_2006,-403.38,-415.609471,-424.345446,-407.95,-476.121166,-404.564669,
Rulleau_etal_2003,-231.16,-241.214146,-248.85135,-234.3,-285.086931,-235.316083,
Ruta_et_Theron_1997,-217.8,-227.625047,-244.8257,-221.21,-255.345602,-222.136405,
Schoch_2008,-823.16,-831.984451,-848.369969,-824.82,-873.856819,-825.294977,
Schoch_et_Rubidge_2005,-300.85,-310.130144,-321.497761,-303.73,-336.524118,-303.577553,
Senter_etal_2004,-1080.1,-1108.356412,-1117.364571,-1088.6,-1151.907055,-1091.594494,
Parker_2007,-261.63,-275.033736,-284.874305,-266.11,-306.841108,-267.604745,
Parker_et_Barton_2008,-247.35,-253.699241,-262.691304,-249.92,-282.040186,-249.345794,
Parrish_1991,-315.77,-321.178985,-342.842922,-318.33,-365.85799,-318.129489,
Parrish_1993,-364.19,-368.006697,-381.35677,-366.08,-390.372426,-366.684398,
Pinheiro_etal_2011,-187.1,-192.429392,-207.61531,-189.07,-227.47077,-187.89803,
Rauhut_etal_2005,-1190.6,-1216.214589,-1217.378992,-1198.84,-1233.349596,-1194.043098,
Reisz_etal_1992,-488.41,-504.172314,-503.432738,-495.69,-566.65738,-491.032058,
Rieppel_1989,-106.22,-109.878035,-114.233907,-107.71,-119.138336,-106.26705,
Rieppel_1993,-746.04,-760.970095,-776.080552,-750.31,-813.293681,-751.170592,
Rieppel_et_Zanon_1997,-208,-219.072406,-242.891911,-213.05,-292.188057,-209.15279,
Modesto_et_Damiani_2007,-286.06,-297.831825,-310.491781,-291.52,-344.796506,-288.541728,
Nesbitt_etal_2009d,-253.95,-259.409211,-262.320045,-255.54,-268.432588,-255.793486,
Norman_2002,-498.57,-517.427228,-523.782687,-507.44,-606.277979,-502.066724,
Novas_1996,-273.54,-284.632383,-277.535237,-277.39,-275.118107,-275.919876,
Maidment_etal_2006,-320.01,-330.410321,-344.964318,-324.08,-367.944006,-321.487992,
Makovicky_2001,-532.86,-555.528714,-566.72703,-542.47,-639.699199,-536.967517,
Martinez_etal_2011,-932.01,-950.981025,-957.005061,-939.53,-987.227396,-934.476553,
McEachran_etal_1996,-622.46,-629.390261,-648.033116,-624.87,-698.940863,-622.549187,
McGowan_2002,-398.55,-408.857731,-422.152113,-401.78,-439.000997,-401.879522,
Michaux_1989,-123.53,-126.581275,-126.472271,-124.04,-125.790683,-125.948095,
Modesto_etal_1999,-248.58,-258.564226,-272.808723,-252.91,-316.618206,-250.308989,
Modesto_etal_2003,-126.13,-131.695845,-155.484614,-128.7,-171.008668,-126.602393,
Lieberman_1999ag,-124.52,-127.794555,-138.391076,-125.9,-149.478523,-125.049155,
Liu_etal_2009,-679.02,-699.482684,-705.551859,-684.41,-788.09363,-682.767464,
Livezey_1997,-611.08,-615.21075,-647.560066,-612.29,-686.200571,-611.833743,
Longrich_et_Currie_2009,-256.23,-269.325421,-272.076744,-261.89,-289.147799,-258.281112,
Longrich_et_Currie_2009,-815.25,-850.23457,-841.159054,-828.73,-870.418568,-823.143421,
Zhu_etal_2009,-1060.44,-1090.829056,-1074.662078,-1074.86,-1143.208443,-1062.919319,
Jeffery_1999,-235.76,-242.756472,-256.836349,-237.48,-263.23851,-240.539664,
Jouve_etal_2005,-175.32,-181.98602,-186.11009,-177.93,-189.701402,-176.361186,
Kammer_et_Gahn_2003,-127.48,-130.581728,-145.281122,-128.77,-142.977114,-128.543076,
Kirkland_1998,-297.88,-306.623491,-310.346757,-300.4,-315.84003,-301.767642,
Kobayashi_et_Azuma_2003,-148.17,-152.30138,-150.427851,-149.68,-148.61793,-148.925887,
Laurin_1991,-378.34,-385.083497,-382.839685,-380.07,-381.331074,-381.380458,
Surkov_etal_2005,-267.68,-275.88628,-290.033837,-270.47,-316.661095,-269.805203,
Surkov_et_Benton_2004,-162.14,-165.407395,-171.287013,-162.96,-178.631138,-163.32788,
Suzuki_etal_2004,-340.14,-350.193708,-348.034782,-344.15,-348.996792,-343.06936,
Upchurch_etal_2004,-217.98,-226.565336,-229.930092,-221.98,-232.46793,-218.172461,
Weinbaum_et_Hungerbuhler_2007,-175.94,-182.178158,-189.544408,-178.56,-197.635882,-176.851984,
Weishampel_etal_1993,-215.02,-221.624925,-220.492911,-216.8,-219.109764,-219.102048,
Xu_etal_2000,-168.49,-173.465906,-181.044947,-170.39,-188.923352,-169.602967,
Brochu_1997,-2478.57,-2428.107953,-2410.770028,-2426.52,-2576.815581,-2416.488219,crocodilians
Sidor_2003,-2201.21,-2067.026252,-2062.833875,-2077.55,-2174.181795,-2076.38685,Synapsids
Santini_et_Tyler_2003,-3046.99,-3018.482264,-2975.481973,-2990.52,-3349.966913,-2976.868782,Fish
Nesbitt_etal_2009,-3608.73,-3596.067481,-3575.823305,-3581.2,-3778.934117,-3583.955858,Archosaurs
Sweetman_etal_inpress,-3239.53,-3184.110621,-3171.022889,-3175.57,-3365.000705,-3181.237067,Archosaurs
Ahlberg_et_Clack_1998,-510.3,-855.85155,-528.429001,-508.08,-552.793779,-512.185902,Fish
Arratia_1996,-1187.63,-1173.031713,-1200.81118,-1169.81,-1299.758481,-1173.018521,Fish
Ausich_1998b,-957.74,-935.50465,-953.222165,-933.89,-1032.508708,-934.564329,Crinoids
Benton_et_Clark_1988a,-1004.41,-1008.625491,-1006.916103,-1002.5,-1007.998102,-1007.485275,Crocodilians
Choiniere_etal_2010,-6526.8,-6460.854217,-6437.515956,-6431.85,-6762.668558,-6459.240964,birds
Davis_etal_2012,-1658.87,-1654.282035,-1652.334207,-1634.44,-1671.747595,-1637.988713,Jawless_verts
Froehlich_2002,-2154.37,-2172.885305,-2154.008993,-2148.16,-2415.913157,-2149.240751,Mammals
Gentry_et_Hooker_1988,-1939.08,-1911.615195,-1932.142562,-1906.44,-2040.444169,-1920.424028,Mammals
Haasl_2000,-696.87,-687.961996,-702.866496,-687.86,-764.465413,-693.376915,Microbes
Rodman_etal_1984,-876.73,-876.380051,-889.832406,-873.9,-926.004216,-874.32232,Plants
Mayr_et_Clarke_2003,-2926.21,-3445.877067,-2817.395745,-2805.74,-2872.500818,-2815.265141,birds
Lieberman_et_Kloc_1997,-1846.25,-1805.254673,-1810.416852,-1805.17,-1911.504903,-1807.898883,Trilobite
Karasawa_et_Schweitzer_2006,-1106.8,-1090.775444,-1097.73025,-1090.18,-1117.218733,-1094.197257,Crustaceans
Steyer_2003,-304.47,-313.972416,-321.633717,-310.37,-252.734241,-302.178054,amphibian
Russell_et_Dong_1993,-342.49,-356.91863,-344.563639,-350.11,-340.992642,-342.900539,Dinosaurians
Norman_etal_2004,-285.89,-291.105015,-286.797819,-288.64,-284.408045,-284.937521,dinosaur
Novas_1993,-205.23,-210.433517,-207.144453,-207.47,-204.997977,-205.506199,dinosaur
Averianov_etal_2006,-200.92,-200.26003,-197.010934,-201.61,-194.999684,-195.249797,ornithopod
Galton_et_Upchurch_2004,-960.7,-971.675128,-954.042389,-963.01,-949.147165,-950.051131,Dinosaur
Michaux_1989,-430.76,-428.458473,-426.697013,-427.75,-424.248635,-425.738469,invertebrates
Khonsari_etal_2009,-459.99,-460.43723,-459.067473,-461.13,-457.649862,-457.835385,all_vert
Allain_etal_2007,-2338.98,-2384.557698,-2354.630177,-2350,-2515.984287,-2338.624794,dinosaurs
Alroy_1995,-670.76,-673.334992,-679.441143,-671.3,-787.228662,-665.719642,hoofed_mammals
Alvarado-Ortega_et_Espinosa-Arrubarrena_2008,-107.14,-108.602198,-123.993053,-108.77,-141.04633,-105.391572,bony_fish
Apesteguia_etal_2007,-188.92,-191.479669,-207.913736,-192.4,-256.076267,-182.354687,fish
Azuma_et_Currie_2000,-727.25,-752.054922,-749.524668,-742.74,-825.770561,-723.60215,dinosaurs
Bell_1997,-1493.48,-1513.76572,-1510.653112,-1494.68,-1600.440223,-1486.443355,mosasaur
Benson_etal_2012,-2306.41,-2333.514859,-2309.20469,-2308.27,-2516.629693,-2292.458666,mosasaur
Brazeau_2009,-1434.95,-1456.003562,-1451.585966,-1436.26,-1474.627578,-1429.342247,
Dal_Sasso_et_Pinna_1996,-279.84,-289.591696,-287.219555,-285.56,-419.113608,-270.685486,
Damiani_et_Yates_2003,-436.23,-441.691026,-454.19914,-438.49,-506.836331,-432.879631,
Dunlop_et_Selden_1997,-219.01,-219.691393,-249.043941,-220.69,-274.870703,-215.645064,
Evans_1991,-177.17,-177.309914,-182.067698,-177.58,-187.613176,-174.788286,
Fortey_etal_2005,-1101.95,-1118.479014,-1110.772806,-1104.78,-1338.828086,-1094.330962,
Gallina_et_Apesteguia_2011,-587.84,-601.345759,-605.806043,-593.31,-695.411507,-585.991712,
Gardiner_etal_2005,-456.76,-473.783645,-467.749034,-465.85,-626.70565,-455.807061,
Gasparini_etal_1993,-134.92,-138.069924,-145.030856,-136.47,-162.317756,-133.847965,
Harper_etal_2000,-454.19,-457.183492,-475.022486,-454.67,-511.761016,-454.036051,
Sidor_etal_2004,-102.79,-106.601463,-111.006824,-104.77,-128.391187,-102.761315,
Steyer_2000a,-159.15,-159.916973,-185.459961,-161.67,-201.873648,-153.459808,
Ryan_etal_2010,-166.88,-170.134805,-194.858859,-170.64,-242.092471,-162.429574,
Sachs_2005,-144,-147.043913,-157.039977,-145.78,-177.079687,-143.410501,
Sampson_1995,-105.61,-110.081247,-135.534453,-108,-153.738473,-104.498018,
Sanz_etal_1999,-223.99,-225.346256,-241.079001,-226.08,-264.304066,-221.253279,
Schultze_1994,-891.13,-900.346006,-922.708019,-895.51,-959.601611,-889.409207,fish
Sequeira_2003,-541.83,-554.178279,-567.086929,-547.78,-630.335745,-541.549263,
Osmolska_etal_2004,-823.66,-857.228998,-851.511279,-842.67,-939.038329,-820.272393,
Rode_2005a,-500.1,-503.477207,-516.790907,-501.16,-532.581572,-499.432343,
Montefeltro_etal_2013,-324.15,-332.720245,-332.399275,-330.31,-344.068901,-319.480107,
Muller_et_Tsuji_2007,-1543.22,-1562.439396,-1545.728308,-1544.34,-1705.045853,-1538.884403,
MacLeod_1993a,-607.12,-623.962557,-624.935693,-616.03,-785.255915,-603.658879,
MacLeod_1993,-606.92,-622.422932,-622.483452,-616.48,-764.815083,-603.672109,
Maryanska_etal_2002,-1798.54,-1833.67641,-1799.935555,-1809.81,-1977.556672,-1785.645111,
Lieberman_1994ad,-136.86,-138.809159,-150.612426,-138.93,-166.520365,-134.328984,
Lieberman_1999,-202.46,-203.231244,-222.553102,-204.37,-247.305779,-194.627762,
Lieberman_etal_1991,-414.71,-424.132454,-426.30517,-419.4,-457.004045,-412.161331,
Liu_et_Abdala_2014,-891.87,-900.492682,-916.566092,-892.57,-976.360414,-886.43486,
Liu_etal_2002,-110.3,-111.02051,-124.405999,-111.54,-136.596595,-106.899504,
Krupina_et_Reisz_2000,-416.92,-428.604023,-443.722884,-424.5,-503.358594,-413.622053,
Langer_et_Benton_2006,-525.87,-544.554267,-555.053385,-537,-569.765079,-524.684684,
Lang_et_Mahammed_2010,-2011.75,-2031.526479,-2034.689931,-2020.62,-2108.875305,-2004.168811,
Sues_et_Averianov_2009,-1283.09,-1303.664694,-1283.968853,-1285.86,-1352.786805,-1279.649318,
Swartz_2012,-2162.33,-2190.600027,-2169.011153,-2172.39,-2318.674614,-2158.819094,
Wilson_2002,-1666.02,-1691.650831,-1680.5313,-1672.81,-1779.244359,-1655.444186,
Anderson_et_Roopnarine_2003,-730.38,-733.740999,-725.963268,-728.67,-910.217511,-716.376943,
Cusack_etal_1999,-681.08,-677.79157,-671.677812,-676.76,-775.297425,-669.650882,
Mannion_etal_inpress,-3706.37,-3736.940394,-3676.37183,-3686.13,-3762.149348,-3662.152111,
McDonald_etal_2010,-1747.39,-1772.241235,-1745.018687,-1747.05,-1931.439962,-1730.179355,
Lieberman_1998,-1551.49,-1558.783038,-1543.812891,-1546.05,-1749.41965,-1539.700528,
Liu_et_Olsen_2010,-1787.17,-1817.484064,-1784.166511,-1798.06,-2034.538447,-1779.209693,
Wang_etal_2012,-1037.44,-1048.887036,-1037.238195,-1042.12,-1224.582466,-1034.533707,
Abella_etal_2012,-614.76,-612.600163,-620.037927,-611.51,-637.16673,-603.535274,
Aguilera_etal_2006,-2600.32,-2557.356469,-2601.24763,-2538.34,-2705.029988,-2536.233641,
Allain_etal_2012,-1673.17,-1683.309674,-1703.393589,-1668.46,-1853.668481,-1662.850145,
Alvarez_etal_1998,-1042.12,-1017.832721,-1024.975014,-1016.72,-1162.295346,-1014.056102,
Anderson_et_Roopnarine_2003a,-737.16,-738.70723,-744.401347,-735.65,-910.894019,-724.410986,
Benson_2010,-2260.5,-2274.664266,-2252.0239,-2247.32,-2434.901321,-2242.007826,
Edgecombe_et_Ramskold_1999,-268.53,-267.982702,-278.197967,-267.74,-312.965805,-267.132604,
Ezcurra_etal_2010,-1729.91,-1740.803274,-1746.687702,-1727.83,-1791.168389,-1719.656864,
Frobisch_2007,-1521.99,-1533.633737,-1537.71416,-1517.94,-1705.629125,-1516.195808,
Ramskold_et_Werdelin_1991,-1254.88,-1242.746974,-1239.965552,-1236.38,-1415.096292,-1226.280334,
Naish_etal_2013a,-260.29,-262.114352,-261.58393,-260.22,-265.804495,-256.959902,
Larsson_et_Sues_2007,-2050,-2057.082064,-2037.970996,-2037.51,-2235.866116,-2023.482596,
Taylor_etal_1998,-606.05,-605.317957,-615.120663,-601.9,-693.586628,-595.795018,
Wang_etal_2005,-1095.27,-1102.237694,-1091.934231,-1091.5,-1284.475693,-1090.692547,
Williamson_etal_2012,-2341.64,-2270.415758,-2295.294502,-2265.81,-2385.518364,-2264.710045,
Wills_1998b,-515.39,-515.609797,-527.745913,-512.42,-597.757541,-509.423871,
Wills_1998b,-515.48,-515.647912,-518.363533,-512.39,-596.084657,-509.421353,
Steyer_2000,-155.11,-150.193055,-165.889793,-154.22,-194.930924,-147.086538,
Rode_et_Babcock_2003,-972.39,-939.85925,-958.237802,-940.4,-1030.071934,-937.330538,
Monks_et_Owen_2000,-249.55,-249.221486,-273.369993,-250.52,-290.616707,-243.708949,
Nesbitt_etal_2009,-231.46,-219.587936,-220.348895,-223.33,-223.330766,-218.711187,
Bentley_et_Jago_2004,-458.54,-450.892798,-481.858254,-455.25,-505.168533,-453.05527,trilobite
Skelton_et_Smith_2000,-439.72,-424.436423,-442.461264,-428.55,-448.430073,-425.958278,bivalves
Smith_2001,-994.72,-965.956386,-1003.013934,-970.53,-1039.254559,-967.965959,echinoids
Rubidge_et_van_den_Heever_1997,-138.19,-133.494966,-155.424192,-138.13,-173.154306,-134.986681,therapsids
Monks_2002,-372.55,-369.575615,-391.194312,-369.88,-414.29792,-370.049946,ammonites
Jin_etal_2006,-314.64,-307.11211,-360.471216,-312.29,-375.80084,-308.479827,brachiopods
Joyce_2007,-2066.82,-2030.913848,-2075.681384,-2035.47,-2171.306895,-2035.041307,reptile